split,horizon_steps,baseline,proposed_nrmse,baseline_nrmse,relative_nrmse_reduction_percent
test_fault,1,XGBoost,0.1437403261661529,0.481211456708623,70.12948794916396
test_fault,1,PatchTST,0.1437403261661529,0.6169498855651322,76.70145833085205
test_fault,1,Random Forest,0.1437403261661529,0.8550316567760307,83.18888838477187
test_fault,1,Gaussian Process,0.1437403261661529,1.4931116082476878,90.37310236072398
test_fault,5,XGBoost,0.3176997125148773,0.6458292303520933,50.80747392903327
test_fault,5,PatchTST,0.3176997125148773,0.8507489913016681,62.65646909215979
test_fault,5,Random Forest,0.3176997125148773,0.8937649521334611,64.45377369558827
test_fault,5,Gaussian Process,0.3176997125148773,1.483610968348651,78.58604989497373
test_fault,20,XGBoost,0.5360633850097656,0.7480725562282124,28.34072302924715
test_fault,20,PatchTST,0.5360633850097656,0.9262064225019104,42.122687557949874
test_fault,20,Random Forest,0.5360633850097656,0.9609250077378492,44.21381682304916
test_fault,20,Gaussian Process,0.5360633850097656,1.4973593657844289,64.19941683612234
test_normal,1,XGBoost,0.0248424150049685,0.0367349712414721,32.3739364278512
test_normal,1,PatchTST,0.0248424150049685,0.0845932737929411,70.6331084126437
test_normal,1,Random Forest,0.0248424150049685,0.1664530603224547,85.07542309114443
test_normal,1,Gaussian Process,0.0248424150049685,0.6757707776810177,96.3238400023425
test_normal,5,XGBoost,0.050365962833166,0.0590030335665855,14.638350286977156
test_normal,5,PatchTST,0.050365962833166,0.1107376467899439,54.5177595035009
test_normal,5,Random Forest,0.050365962833166,0.1859432857082175,72.91326619225157
test_normal,5,Gaussian Process,0.050365962833166,0.6934866790210649,92.73728474434962
test_normal,20,XGBoost,0.0899766340851783,0.1125032363000281,20.02307040730364
test_normal,20,PatchTST,0.0899766340851783,0.1659058823550877,45.76645938773789
test_normal,20,Random Forest,0.0899766340851783,0.2065743613112465,56.443464951775844
test_normal,20,Gaussian Process,0.0899766340851783,0.6651008768337044,86.47173124872076
